0,0,0,0,10
0,0,0,0.49903,9.9805
0,0,0,1.0573,9.9123
0,0,0,1.6762,9.778
0,0,0,2.3527,9.5578
0,0,0,3.0769,9.2308
0,0,0,3.8308,8.779
0,0,0,4.5877,8.1923
0,0,0,5.3149,7.4741
0,0,0,5.9793,6.6436
0,0,0,6.5539,5.7346
0,0,0,7.0232,4.7885
0,0,0,7.3846,3.8462
0,0,0,7.6462,2.9409
0,0,0,7.8224,2.0953
0,0,0,7.9298,1.3216
0,0,0,7.9844,0.62378
0,0,0,8,0
0,0,0.37427,0,9.9805
0,0,0.39823,0.53098,9.9558
0,0,0.42321,1.1286,9.8748
0,0,0.44846,1.7938,9.7167
0,0,0.47287,2.522,9.4573
0,0,0.49487,3.2991,9.0726
0,0,0.51261,4.1009,8.5436
0,0,0.52422,4.8927,7.8633
0,0,0.52827,5.6349,7.0436
0,0,0.52422,6.2907,6.1159
0,0,0.51261,6.8349,5.1261
0,0,0.49487,7.2581,4.1239
0,0,0.47287,7.5659,3.1524
0,0,0.44846,7.7733,2.2423
0,0,0.42321,7.8999,1.4107
0,0,0.39823,7.9647,0.66372
0,0,0.37427,7.9844,0
0,0,0.79298,0,9.9123
0,0,0.84641,0.56428,9.8748
0,0,0.90198,1.2026,9.7714
0,0,0.9577,1.9154,9.577
0,0,1.0106,2.6949,9.2637
0,0,1.0565,3.5218,8.8045
0,0,1.0909,4.3636,8.1818
0,0,1.1094,5.1772,7.396
0,0,1.1094,5.9168,6.4715
0,0,1.0909,6.5455,5.4545
0,0,1.0565,7.0436,4.4023
0,0,1.0106,7.4109,3.3686
0,0,0.9577,7.6616,2.3943
0,0,0.90198,7.8171,1.5033
0,0,0.84641,7.8999,0.70535
0,0,0.79298,7.9298,0
0,0,1.2572,0,9.778
0,0,1.3454,0.59795,9.7167
0,0,1.4366,1.2769,9.577
0,0,1.5267,2.0357,9.3301
0,0,1.61,2.8622,8.9443
0,0,1.6785,3.73,8.3925
0,0,1.7241,4.5976,7.6626
0,0,1.7401,5.4137,6.7672
0,0,1.7241,6.1301,5.747
0,0,1.6785,6.714,4.6625
0,0,1.61,7.1554,3.5777
0,0,1.5267,7.4641,2.5446
0,0,1.4366,7.6616,1.5962
0,0,1.3454,7.7733,0.74744
0,0,1.2572,7.8224,0
0,0,1.7645,0,9.5578
0,0,1.8915,0.63049,9.4573
0,0,2.0212,1.3474,9.2637
0,0,2.1466,2.1466,8.9443
0,0,2.2577,3.0103,8.4665
0,0,2.3422,3.9036,7.8072
0,0,2.3881,4.7762,6.9653
0,0,2.3881,5.5722,5.9702
0,0,2.3422,6.2458,4.8795
0,0,2.2577,6.7732,3.7629
0,0,2.1466,7.1554,2.6833
0,0,2.0212,7.4109,1.6843
0,0,1.8915,7.5659,0.78811
0,0,1.7645,7.6462,0
0,0,2.3077,0,9.2308
